ID,Khmer Word,Frequency
W01,និង,223.0
W02,ប្រាសាទ,199.0
W03,ដែល,198.0
W04,មាន,169.0
W05,បាន,157.0
W06,នៅ,157.0
W07,នៃ,153.0
W08,នេះ,134.0
W09,ជា,122.0
W10,ថា,92.0
W11,ត្រូវបាន,92.0
W12,ដោយ,79.0
W13,របស់,76.0
W14,មួយ,69.0
W15,ទៅ,66.0
W16,អង្គរវត្ត,66.0
W17,ក្នុង,65.0
W18,គេ,61.0
W19,ថ្ម,58.0
W20,អង្គរ,58.0
W21,ពី,52.0
W22,លើ,51.0
W23,គឺ,48.0
W24,ទី,47.0
W25,ខេត្ត,46.0
W26,តាម,45.0
W27,សៀមរាប,41.0
W28,ទៀត,40.0
W29,នោះ,40.0
W30,ច្រើន,39.0
W31,ឆ្នាំ,39.0
W32,នូវ,37.0
W33,ឈ្មោះ,37.0
W34,ពួក,35.0
W35,ថែវ,35.0
W36,ហើយ,34.0
W37,ធំ,33.0
W38,ដើម្បី,33.0
W39,តំបន់,33.0
W40,ជាច្រើន,31.0
