Query Word,Rank,Similar Word,Frequency,Cosine Similarity
ប្រាសាទ,1,សតវត្ស,17,0.5913569927215576
ប្រាសាទ,2,ប្រទេស,17,0.5364959239959717
ប្រាសាទ,3,តំណាង,13,0.5147133469581604
ប្រាសាទ,4,ផ្នែក,18,0.4326252341270447
ប្រាសាទ,5,ខាងត្បូង,12,0.42709508538246155
ប្រាសាទ,6,ខាងកើត,16,0.42342299222946167
ប្រាសាទ,7,អង្គរ,58,0.4172772765159607
ប្រាសាទ,8,ស្ថិត,24,0.4151298403739929
ប្រាសាទ,9,ខាងក្នុង,13,0.38577932119369507
ប្រាសាទ,10,រួម,19,0.38232025504112244
ថា,1,ឈ្មោះ,37,0.6438822746276855
ថា,2,វា,22,0.5137709975242615
ថា,3,ឆ្នាំ,39,0.46878331899642944
ថា,4,កណ្ដាល,15,0.4619755744934082
ថា,5,រចនាបថ,12,0.44934946298599243
ថា,6,ខាង,21,0.40364569425582886
ថា,7,លើ,51,0.395772784948349
ថា,8,ចេញ,15,0.3779681622982025
ថា,9,ដូចជា,21,0.36201345920562744
ថា,10,បី,16,0.3469627797603607
ត្រូវបាន,1,ច្រើន,39,0.5090157389640808
ត្រូវបាន,2,ដែរ,14,0.45802900195121765
ត្រូវបាន,3,ហើយ,34,0.448437362909317
ត្រូវបាន,4,ព្រះបាទ,17,0.4420485198497772
ត្រូវបាន,5,ឡើង,16,0.42107900977134705
ត្រូវបាន,6,ប្រើ,17,0.41878312826156616
ត្រូវបាន,7,ព័ទ្ធ,15,0.4166930913925171
ត្រូវបាន,8,បំផុត,18,0.4166741967201233
ត្រូវបាន,9,ទិស,15,0.4149470925331116
ត្រូវបាន,10,ខាងក្នុង,13,0.38028115034103394
