word,id,frequency
<UNK>,0,3831.0
កណ្ដាល,1,15.0
កណ្តាល,2,16.0
កន្លែង,3,14.0
កម្ពុជា,4,23.0
កំពុង,5,10.0
កំពែង,6,12.0
ក៏,7,23.0
ក្នុង,8,65.0
ក្បាច់,9,11.0
ក្រុង,10,13.0
ក្រុម,11,10.0
ខាង,12,21.0
ខាងកើត,13,16.0
ខាងក្នុង,14,13.0
ខាងក្រៅ,15,14.0
ខាងជើង,16,17.0
ខាងត្បូង,17,12.0
ខាងលិច,18,28.0
ខេត្ត,19,46.0
ខ្ពស់,20,12.0
ខ្មែរ,21,30.0
ខ្លួន,22,13.0
ខ្លះ,23,21.0
គឺ,24,48.0
គឺជា,25,22.0
គេ,26,61.0
គោ,27,12.0
គ្នា,28,21.0
ឃើញ,29,10.0
ចម្លាក់,30,22.0
ចុង,31,10.0
ចូល,32,15.0
ចេញ,33,15.0
ចំ,34,10.0
ចំនួន,35,15.0
ចំពោះ,36,11.0
ច្រក,37,11.0
ច្រើន,38,39.0
ឆ្នាំ,39,39.0
ជញ្ជាំង,40,10.0
ជា,41,122.0
ជាង,42,24.0
ជាច្រើន,43,31.0
ជាប់,44,11.0
ជាមួយ,45,18.0
ជុំវិញ,46,13.0
ឈើ,47,18.0
ឈ្មោះ,48,37.0
ដល់,49,16.0
ដី,50,13.0
ដូច,51,12.0
ដូចជា,52,21.0
ដើម,53,20.0
ដើម្បី,54,33.0
ដែរ,55,14.0
ដែល,56,198.0
ដោយ,57,79.0
ដំបូង,58,13.0
ដំបូល,59,12.0
ដ៏,60,27.0
តាម,61,45.0
តូច,62,10.0
តែ,63,20.0
តំណាង,64,13.0
តំបន់,65,33.0
ត្រូវបាន,66,92.0
ថា,67,92.0
ថែវ,68,35.0
ថ្ងៃ,69,14.0
ថ្ម,70,58.0
ទាំង,71,29.0
ទាំងអស់,72,11.0
ទិស,73,15.0
ទី,74,47.0
ទីក្រុង,75,18.0
ទី២,76,14.0
ទឹក,77,23.0
ទៀត,78,40.0
ទេ,79,13.0
ទេវតា,80,10.0
ទេសចរណ៍,81,19.0
ទៅ,82,66.0
ធំ,83,33.0
ធ្វើ,84,17.0
នគរ,85,13.0
នានា,86,15.0
និង,87,223.0
នីមួយ,88,12.0
នឹង,89,30.0
នូវ,90,37.0
នេះ,91,134.0
នៃ,92,153.0
នោះ,93,40.0
នៅ,94,157.0
នៅក្នុង,95,29.0
នៅលើ,96,15.0
ន័យ,97,12.0
បង្ហាញ,98,15.0
បន្ទាយស្រី,99,30.0
បាន,100,157.0
បារាំង,101,10.0
បី,102,16.0
បុរាណ,103,15.0
បុរៈ,104,16.0
បំផុត,105,18.0
ប៉ម,106,18.0
ប៉ុន្តែ,107,11.0
ប្រជាជន,108,10.0
ប្រទេស,109,17.0
ប្រមាណ,110,10.0
ប្រវែង,111,10.0
ប្រហែល,112,10.0
ប្រាង្គ,113,30.0
ប្រាសាទ,114,199.0
ប្រើ,115,17.0
ផងដែរ,116,10.0
ផ្នែក,117,18.0
ផ្លូវ,118,16.0
ផ្សេង,119,20.0
ពាក្យ,120,13.0
ពិភពលោក,121,13.0
ពី,122,52.0
ពីរ,123,21.0
ពួក,124,35.0
ពេល,125,16.0
ព័ទ្ធ,126,15.0
ព្រះបាទ,127,17.0
ព្រះវិស្ណុ,128,13.0
ភក់,129,14.0
ភាគ,130,23.0
ភ្នំ,131,20.0
មក,132,22.0
មកពី,133,12.0
មាន,134,169.0
មិន,135,29.0
មួយ,136,69.0
ម៉ែត្រ,137,10.0
យ៉ាង,138,19.0
រចនាបថ,139,12.0
របស់,140,76.0
រាង,141,13.0
រាជធានី,142,17.0
រឺ,143,14.0
រួម,144,19.0
លក្ខណៈ,145,10.0
លើ,146,51.0
លៀន,147,10.0
លោក,148,31.0
វរ្ម័ន,149,19.0
វា,150,22.0
វិញ,151,11.0
សតវត្ស,152,17.0
សតវត្សរ៍,153,13.0
សម័យ,154,24.0
សម្រាប់,155,19.0
សាសនា,156,13.0
សៀមរាប,157,41.0
សំខាន់,158,13.0
សំណង់,159,24.0
ស្ថាបត្យកម្ម,160,12.0
ស្ថិត,161,24.0
ស្រាល,162,11.0
ស្រុក,163,11.0
ហើយ,164,34.0
ហៅ,165,13.0
ឡើង,166,16.0
ឡើយ,167,14.0
អង្គរ,168,58.0
អង្គរវត្ត,169,66.0
អាច,170,15.0
អោយ,171,10.0
អំពី,172,13.0
អ្នក,173,12.0
ឬ,174,16.0
